Input,Output,ObservedProb,ExpectedProb
tus-to,tuto,0.0,0.009375581406206368
tus-i,tusi,1.0,0.7321228270466255
tus-i,tuli,0.0,0.19796332449953047
tus-i,tui,0.0,0.06991384845384399
tus-ti,tutti,1.0,0.9640771564227817
tus-ti,tulti,0.0,0.026547262171011957
tus-ti,tuti,0.0,0.009375581406206368
sis-a,sisa,1.0,0.7321228270466255
sis-a,sila,0.0,0.19796332449953047
sis-a,sia,0.0,0.06991384845384399
sis-ta,sitta,1.0,0.9640771564227817
sis-ta,silta,0.0,0.026547262171011957
sis-ta,sita,0.0,0.009375581406206368
sis-e,sise,1.0,0.7321228270466255
sis-e,sile,0.0,0.19796332449953047
sis-e,sie,0.0,0.06991384845384399
sis-te,sitte,1.0,0.9640771564227817
sis-te,silte,0.0,0.026547262171011957
sis-te,site,0.0,0.009375581406206368
sis-tu,sittu,1.0,0.9640771564227817
sis-tu,siltu,0.0,0.026547262171011957
sis-tu,situ,0.0,0.009375581406206368
sis-u,sisu,1.0,0.7321228270466255
sis-u,silu,0.0,0.19796332449953047
sis-u,siu,0.0,0.06991384845384399
sis-o,siso,1.0,0.7321228270466255
sis-o,silo,0.0,0.19796332449953047
sis-o,sio,0.0,0.06991384845384399
sis-to,sitto,1.0,0.9640771564227817
sis-to,silto,0.0,0.026547262171011957
sis-to,sito,0.0,0.009375581406206368
sis-i,sisi,1.0,0.7321228270466255
sis-i,sili,0.0,0.19796332449953047
sis-i,sii,0.0,0.06991384845384399
sis-ti,sitti,1.0,0.9640771564227817
sis-ti,silti,0.0,0.026547262171011957
sis-ti,siti,0.0,0.009375581406206368
hus-a,husa,1.0,0.7321228270466255
hus-a,hula,0.0,0.19796332449953047
hus-a,hua,0.0,0.06991384845384399
hus-ta,hutta,1.0,0.9640771564227817
hus-ta,hulta,0.0,0.026547262171011957
hus-ta,huta,0.0,0.009375581406206368
hus-e,huse,1.0,0.7321228270466255
hus-e,hule,0.0,0.19796332449953047
hus-e,hue,0.0,0.06991384845384399
hus-te,hutte,1.0,0.9640771564227817
hus-te,hulte,0.0,0.026547262171011957
hus-te,hute,0.0,0.009375581406206368
hus-tu,huttu,1.0,0.9640771564227817
hus-tu,hultu,0.0,0.026547262171011957
hus-tu,hutu,0.0,0.009375581406206368
hus-u,husu,1.0,0.7321228270466255
hus-u,hulu,0.0,0.19796332449953047
hus-u,huu,0.0,0.06991384845384399
hus-o,huso,1.0,0.7321228270466255
hus-o,hulo,0.0,0.19796332449953047
hus-o,huo,0.0,0.06991384845384399
hus-to,hutto,1.0,0.9640771564227817
hus-to,hulto,0.0,0.026547262171011957
hus-to,huto,0.0,0.009375581406206368
hus-i,husi,1.0,0.7321228270466255
hus-i,huli,0.0,0.19796332449953047
hus-i,hui,0.0,0.06991384845384399
hus-ti,hutti,1.0,0.9640771564227817
hus-ti,hulti,0.0,0.026547262171011957
hus-ti,huti,0.0,0.009375581406206368
kis-a,kisa,1.0,0.7321228270466255
kis-a,kila,0.0,0.19796332449953047
kis-a,kia,0.0,0.06991384845384399
kis-ta,kitta,1.0,0.9640771564227817
kis-ta,kilta,0.0,0.026547262171011957
kis-ta,kita,0.0,0.009375581406206368
kis-e,kise,1.0,0.7321228270466255
kis-e,kile,0.0,0.19796332449953047
kis-e,kie,0.0,0.06991384845384399
kis-te,kitte,1.0,0.9640771564227817
kis-te,kilte,0.0,0.026547262171011957
kis-te,kite,0.0,0.009375581406206368
kis-tu,kittu,1.0,0.9640771564227817
kis-tu,kiltu,0.0,0.026547262171011957
kis-tu,kitu,0.0,0.009375581406206368
kis-u,kisu,1.0,0.7321228270466255
kis-u,kilu,0.0,0.19796332449953047
kis-u,kiu,0.0,0.06991384845384399
kis-o,kiso,1.0,0.7321228270466255
kis-o,kilo,0.0,0.19796332449953047
kis-o,kio,0.0,0.06991384845384399
kis-to,kitto,1.0,0.9640771564227817
kis-to,kilto,0.0,0.026547262171011957
kis-to,kito,0.0,0.009375581406206368
kis-i,kisi,1.0,0.7321228270466255
kis-i,kili,0.0,0.19796332449953047
kis-i,kii,0.0,0.06991384845384399
kis-ti,kitti,1.0,0.9640771564227817
kis-ti,kilti,0.0,0.026547262171011957
kis-ti,kiti,0.0,0.009375581406206368
mis-a,misa,0.0,0.7321228270466255
mis-a,mila,0.0,0.19796332449953047
mis-a,mia,1.0,0.06991384845384399
mis-ta,mitta,1.0,0.9640771564227817
mis-ta,milta,0.0,0.026547262171011957
mis-ta,mita,0.0,0.009375581406206368
mis-e,mise,0.0,0.7321228270466255
mis-e,mile,0.0,0.19796332449953047
mis-e,mie,1.0,0.06991384845384399
mis-te,mitte,1.0,0.9640771564227817
mis-te,milte,0.0,0.026547262171011957
mis-te,mite,0.0,0.009375581406206368
mis-tu,mittu,1.0,0.9640771564227817
mis-tu,miltu,0.0,0.026547262171011957
mis-tu,mitu,0.0,0.009375581406206368
mis-u,misu,0.0,0.7321228270466255
mis-u,milu,0.0,0.19796332449953047
mis-u,miu,1.0,0.06991384845384399
mis-o,miso,0.0,0.7321228270466255
mis-o,milo,0.0,0.19796332449953047
mis-o,mio,1.0,0.06991384845384399
mis-to,mitto,1.0,0.9640771564227817
mis-to,milto,0.0,0.026547262171011957
mis-to,mito,0.0,0.009375581406206368
mis-i,misi,0.0,0.7321228270466255
mis-i,mili,0.0,0.19796332449953047
mis-i,mii,1.0,0.06991384845384399
mis-ti,mitti,1.0,0.9640771564227817
mis-ti,milti,0.0,0.026547262171011957
